Parent	Parent_Index	Parent_Type	Target	Target_Index	Target_Type	Interaction
MYC/Max_(complex)	9181	complex	MIR17_(miRNA)	8915	miRNA	-t>
MYC/Max_(complex)	9181	complex	UBTF	16281	protein	-t>
MYC/Max_(complex)	9181	complex	EIF4E	4369	protein	-t>
MYC/Max_(complex)	9181	complex	SLC2A1	14400	protein	-t>
MYC/Max_(complex)	9181	complex	MYCT1	9200	protein	-t>
MYC/Max_(complex)	9181	complex	HSPA4	6782	protein	-t>
MYC/Max_(complex)	9181	complex	PRDX3	12543	protein	-t>
MYC/Max_(complex)	9181	complex	PEG10	11676	protein	-t>
MYC/Max_(complex)	9181	complex	NBN	9294	protein	-t>
MYC/Max_(complex)	9181	complex	LIN28B	8359	protein	-t>
MYC/Max_(complex)	9181	complex	MTDH	9103	protein	-t>
MYC/Max_(complex)	9181	complex	DDX18	3606	protein	-t>
MYC/Max_(complex)	9181	complex	RCC1	13346	protein	-t>
MYC/Max_(complex)	9181	complex	MIR141_(miRNA)	8913	miRNA	-t>
MYC/Max_(complex)	9181	complex	TFRC	15518	protein	-t>
MYC/Max_(complex)	9181	complex	NPM1	9863	protein	-t>
MYC/Max_(complex)	9181	complex	SERPINI1	14166	protein	-t>
MYC/Max_(complex)	9181	complex	PMAIP1	12244	protein	-t>
MYC/Max_(complex)	9181	complex	IREB2	7619	protein	-t>
MYC/Max_(complex)	9181	complex	HMGA1	6644	protein	-t>
MYC/Max_(complex)	9181	complex	NDUFAF2	9381	protein	-t>
MYC/Max_(complex)	9181	complex	BMI1	1802	protein	-t>
MYC/Max_(complex)	9181	complex	TAF4B	15269	protein	-t>
MYC/Max_(complex)	9181	complex	KIR3DL1	8000	protein	-t>
MYC/Max_(complex)	9181	complex	MTA1	9099	protein	-t>
MYC/Max_(complex)	9181	complex	MINA	8904	protein	-t>
MYC/Max_(complex)	9181	complex	POLR3D	12319	protein	-t>
MYC/Max_(complex)	9181	complex	CDCA7	2591	protein	-t>
MYC/Max_(complex)	9181	complex	PFKM	11728	protein	-t>
MYC/Max_(complex)	9181	complex	MIR9-3_(miRNA)	8925	miRNA	-t>
MYC/Max_(complex)	9181	complex	PDCD10	11506	protein	-t>
MYC/Max_(complex)	9181	complex	CDC25A	2556	protein	-t>
MYC/Max_(complex)	9181	complex	MIR200A_(miRNA)	8916	miRNA	-t>
MYC/Max_(complex)	9181	complex	BIRC5	1781	protein	-t>
MYC/Max_(complex)	9181	complex	TK1	15683	protein	-t>
MYC/Max_(complex)	9181	complex	Dyskerin	4017	protein	-t>
MYC/Max_(complex)	9181	complex	HSP90AA1	6776	protein	-t>
