HGNC_SYMBOL	GENE
ATP12A	#945
IFITM2	1-8D
IFITM3	1-8U
PRDX6	1-Cys
ALDH1L1	10-fTHF
KNOP1	101F10.1
CYB561D2	101F6
KIR2DL4	103AS
ARHGAP9	10C
MAGED2	11B6
GPR31	12-HETER
RASSF1	123F2
FOXP1	12CC4
ALOX12B	12R-LOX
ALOX12	12S-LOX
FAM114A2	133K02
FRY	13CDNA73
YWHAQ	14-3-3
YWHAZ	14-3-3-zeta
IGLL1	14.1
ALOX15	15-LOX-1
ALOX15B	15-LOX-2
KIR2DL4	15.212
SNU13	15.5K
DAG1	156DAG
GATC	15E1.2
CD59	16.3A5
ATP6AP1	16A
TRIP13	16E1BP
EPCAM	17-1A
HSD17B11	17-BETA-HSD11
HSD17B11	17-BETA-HSDXI
DNAL1	1700010H15RiK
SKIV2L	170A
HSD17B10	17b-HSD10
NUFIP2	182-FIP
S100A4	18A2
SLAMF7	19A
NBR1	1A1-3B
UTP20	1A6/DRIM
NCR3	1C7
LMOD1	1D
RGS1	1R20
ATP12A	2
FAM3A	2-19
FAM3B	2-21
COPG2	2-COP
HACL1	2-HPCL
PDE12	2'-PDE
ILVBL	209L8
FBXO46	20D7-FC4
SH3BGR	21-GARP
C1QTNF3	2310005P21Rik
TXNDC15	2310047H23Rik
MPPED1	239AB
MPPED2	239FB
STAC2	24b2
LCN2	24p3
EIF4ENIF1	2610509L04Rik
QRFP	26RFa
UTP14C	2700066J21Rik
S100A6	2A9
UBXN1	2B28
CD244	2B4
AP1AR	2C18
MOB4	2C4D
KPTN	2E4
KLRG1	2F1
SLC25A5	2F1
HNRNPH3	2H9
SAP18	2HOR0202
UST	2OST
NDUFAF3	2P1
SET	2PP2A
CXCL8	3-10C
AKR1C4	3-alpha-HSD
HS3ST5	3-OST-5
MTMR12	3-PAP
ERI1	3'HEXO
ZNF280A	3'OY11.1
CAPNS1	30K
HS3ST3A1	30ST3A1
HS3ST3B1	30ST3B1
EPCAM	323/A3
RPSA	37LRP
NCAPH2	384D8-2
STAU2	39K2
DHRS9	3alpha-HSD
MTDH	3D3
RBM6	3G2
CEP290	3H11Ag
CCDC8	3M3
HS3ST1	3OST1
HS3ST2	3OST2
HS3ST3A1	3OST3A1
HS3ST3B1	3OST3B1
HS3ST4	3OST4
MTMR12	3PAP
MAPKAPK3	3pK
MAPKAPK3	3PK
TNFRSF9	4-1BB
TNFSF9	4-1BB-L
HPD	4-HPPD
HPDL	4-HPPD-L
EPB41L2	4.1-G
EPB41L3	4.1B
EPB41L1	4.1N
EPB41	4.1R
S100A4	42A
S100A10	42C
KIR2DL1	47.11
ZSWIM8	4832404P21Rik
THAP1	4833431A01Rik
ZCCHC13	4930513O09RIK
ZNF474	4933409D10Rik
EIF4EBP1	4E-BP1
EIF4EBP3	4E-BP3
EIF4ENIF1	4E-T
EIF4E2	4EHP
SLC3A2	4F2
SLC3A2	4F2HC
SERF1A	4F5
SERF2	4F5REL
HPD	4HPPD
CRYZL1	4P11
SLC3A2	4T2HC
HTR2B	5-HT(2B)
HTR1A	5-HT1A
HTR1B	5-HT1B
HTR1D	5-HT1D
