"ID"	"name"	"source"	"Parent"	"Parent_Type"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"myoblast_fusion"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"substrate_adhesion-dependent_cell_spreading"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"actin_filament_bundle_formation"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"epithelial_cell"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"fibronectin_binding"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ruffle_organization"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"tube_morphogenesis"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"Tumor_Cell_Invasion"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"regulation_of_epithelial_cell_migration"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"cortical_actin_cytoskeleton_organization"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"regulation_of_calcium-dependent_cell-cell_adhesion"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"liver_development"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"lamellipodium_assembly"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"regulation_of_axonogenesis"	"abstract"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF1/GTP"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"Phosphatidylcholine"	"smallMolecule"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF1/GDP"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ERK1-2-active"	"protein"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GDP"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ERK1-2"	"protein"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP/RAB11FIP3/RAB11A"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"RhoA/GDP"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PLD1-2"	"protein"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"RAC1/GDP"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"RAB11FIP3/RAB11A"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP/NME1/Tiam1"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PAK1"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"GM1"	"smallMolecule"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"Phosphatidic_acid"	"smallMolecule"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"RhoA/GTP"	"complex"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"Choline"	"smallMolecule"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"GDP"	"smallMolecule"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"GTP"	"smallMolecule"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"TIAM1"	"protein"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PLAUR"	"protein"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PIP5K1A"	"protein"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"NME1"	"protein"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"KALRN"	"protein"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"muscle_contraction"	"abstract"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"glial_cell_fate_commitment"	"abstract"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"cell_morphogenesis"	"abstract"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"platelet_activation"	"abstract"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"positive_regulation_of_NF-kappaB_transcription_factor_activity"	"abstract"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"actin_cytoskeleton_reorganization"	"abstract"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"muscle_cell_differentiation"	"abstract"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"JNK_cascade"	"abstract"
"36872"	"Thromboxane A2 receptor signaling"	"NCI-PID"	"cAMP_biosynthetic_process"	"abstract"
