"ID"	"name"	"source"	"Parent"	"Interaction"	"Target"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"KALRN"	"-a>"	"PAK1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-a>"	"PAK1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"Phosphatidic_acid"	"-a>"	"PIP5K1A"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ERK1-2-active"	"-t>"	"PLAUR"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PLAUR"	"-a>"	"PAK1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-a>"	"ARF1/GTP"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-a>"	"ERK1-2-active"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PLD1-2"	"-a>"	"Phosphatidic_acid"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-a>"	"RAC1/GDP"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-a>"	"GM1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP/NME1/Tiam1"	"-a|"	"PAK1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-a>"	"RhoA/GDP"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PAK1"	"-ap>"	"cortical_actin_cytoskeleton_organization"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GDP"	"-ap|"	"myoblast_fusion"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-a>"	"PIP5K1A"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"epithelial_cell"	"-t>"	"PLAUR"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-ap>"	"substrate_adhesion-dependent_cell_spreading"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PAK1"	"-ap>"	"lamellipodium_assembly"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"GTP"	"-a>"	"ARF1/GTP"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF1/GDP"	"-a>"	"GDP"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF1/GDP"	"-a>"	"ARF1/GTP"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"GM1"	"-a>"	"PAK1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ERK1-2"	"-a>"	"ERK1-2-active"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"RhoA/GDP"	"-ap|"	"actin_filament_bundle_formation"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"Phosphatidylcholine"	"-a>"	"Choline"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"Phosphatidylcholine"	"-a>"	"Phosphatidic_acid"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GDP"	"-a>"	"KALRN"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"epithelial_cell"	"-a>"	"RAC1/GDP"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"TIAM1"	"component>"	"ARF6/GTP/NME1/Tiam1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"NME1"	"component>"	"ARF6/GTP/NME1/Tiam1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"component>"	"ARF6/GTP/NME1/Tiam1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"fibronectin_binding"	"-a>"	"GM1"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ARF6/GTP"	"-a>"	"PLD1-2"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"ERK1-2-active"	"-ap>"	"Tumor_Cell_Invasion"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"PIP5K1A"	"-ap>"	"ruffle_organization"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"GTP"	"-a>"	"GDP"
"36871"	"Arf6 downstream pathway"	"NCI-PID"	"GTP"	"-a>"	"PAK1"
